Horodateur,badminton,baseball,basketball,cyclisme,bodyboard,boxe,escalade,danse,escrime,crossfit,frisbee,handball,randonnée,hiphop,patinage sur glace,kitesurf,arts martiaux,pingpong,rugby,course a pied,ski,snowboard,football,natation,surf,tennis,volleyball,marche,haltérophilie,planche à voile,yoga
17/11/2022 10:43:27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,10,0,0
17/11/2022 10:45:55,2,1,0,4,0,1,0,0,0,1,0,0,3,2,2,0,0,1,0,5,0,0,7,0,0,0,0,6,0,0,0
17/11/2022 15:39:37,5,1,3,4,2,0,2,0,0,0,4,2,5,0,2,0,0,10,0,0,7,0,1,2,3,9,5,3,3,0,0
08/12/2022 08:52:05,0,0,0,10,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0
08/12/2022 08:53:25,3,3,9,6,8,0,6,0,0,7,3,0,5,0,5,6,0,4,0,5,8,0,0,6,10,0,9,2,0,3,5
08/12/2022 08:58:28,1,1,4,6,0,0,1,1,0,0,3,3,5,0,2,0,0,6,10,4,1,1,4,5,0,0,5,7,0,0,0
08/12/2022 08:59:47,0,0,6,3,0,0,3,10,1,0,0,0,4,10,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,5
08/12/2022 08:59:53,0,0,0,8,4,0,9,0,0,1,0,0,5,0,0,10,0,1,0,6,1,6,2,1,10,7,0,3,0,2,5
08/12/2022 09:12:31,10,0,0,0,0,0,0,5,0,0,2,0,4,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0
08/12/2022 09:13:02,5,0,7,6,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,10,0,4,0,0
08/12/2022 09:17:03,2,0,0,1,0,1,1,2,0,6,1,0,4,0,1,0,0,3,0,2,0,0,0,2,0,3,0,2,0,0,0
08/12/2022 09:21:26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2
08/12/2022 09:25:08,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0
08/12/2022 09:30:32,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,7,0,0,0,6,0,0,8,0,0,0,0,0,0,0
08/12/2022 09:44:53,0,0,0,7,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,2,5,1,8,6,0,3,4,0,0,0
08/12/2022 09:47:52,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,2,5,0,2,0,0,0,5,0,7,0,0
08/12/2022 09:52:07,5,0,0,2,0,0,3,0,0,0,2,8,0,0,0,0,0,0,0,2,5,0,10,2,0,0,8,0,0,0,10
